Sample ID,Type,Volume [L],Mid sampling,Season,Year,Latitude,Longitude,Salinity,Temperature (°C),224Ra (dpm/100L),224Ra (err),223Ra (dpm/100L),223Ra (err),228Ra (dpm/100L),228Ra (err),226Ra (dpm/100L),226Ra (err)
Lagoon_H1,Lagoon,64.06,6/15/2022 12:12,Thaw,2022,70.50096,-149.6265,0.89,0.28,4.1,0.3,0.28,0.14,3.4,0.5,2.71,0.08
Lagoon_H3,Lagoon,63.46,6/15/2022 14:05,Thaw,2022,70.50167,-149.6344,0.72,1.83,4.4,0.3,0.57,0.16,3,0.5,3.02,0.08
Lagoon_H5,Lagoon,65.94,6/15/2022 16:55,Thaw,2022,70.50503,-149.64431,6.04,0.8,3.9,0.2,0.22,0.08,,,2.9,0.08
Rad_G1,Groundwater,19.18,6/16/2022 11:50,Thaw,2022,,,0.1,2.89,3.5,0.5,0.08,0.17,,,0.52,0.11
Rad_G2,Groundwater,38.22,6/16/2022 11:45,Thaw,2022,,,0.12,2.97,3.5,0.5,0.32,0.19,,,0.92,0.11
Rad_G3,Groundwater,17.56,6/16/2022 12:55,Thaw,2022,,,35.84,0.45,69,2.1,6.76,1.08,16,2,7.89,0.2
Rad_G4,Subtidal Porewater,17.44,6/16/2022 15:33,Thaw,2022,70.504188,-149.648057,28.88,1.12,9.6,0.7,0.59,0.32,,,1.03,0.17
Rad_G5,Subtidal Porewater,14.46,6/16/2022 16:10,Thaw,2022,70.5044,-149.648492,62.03,0.51,17.1,1,0.65,0.47,,,0.84,0.17
Rad_G7,Groundwater,19.64,6/17/2022 11:30,Thaw,2022,70.50426,-149.64902,20.57,5.57,34.6,1.1,2.86,0.74,13.6,1.9,4.18,0.13
Rad_G8,Groundwater,42.6,6/17/2022 12:35,Thaw,2022,,,9.99,0.5,44.6,1.2,6.14,0.84,,,7.96,0.23
Rad_G9,Groundwater,19.64,6/17/2022 13:20,Thaw,2022,,,2.19,4.16,26.7,1.7,0.83,0.49,12.4,1.24,4.63,0.14
Rad_G10,Groundwater,40.36,6/17/2022 13:40,Thaw,2022,,,3.49,1.83,17.4,0.8,1.13,0.34,8.3,0.66,2.95,0.11
Rad_G11,Groundwater,10.2,6/17/2022 14:20,Thaw,2022,,,14.72,0.36,85,2.3,9.47,1.43,35.3,3.18,9.41,0.27
Rad_G12,Groundwater,19.8,6/18/2022 12:35,Thaw,2022,70.49959,-149.61389,0.49,5.84,3.3,1,0.42,0.35,,,1.76,0.13
Rad_G13,Groundwater,20,6/18/2022 13:05,Thaw,2022,,,7.53,2.86,41.7,1.9,3.27,0.92,,,9.38,0.28
Rad_G14,Groundwater,5.18,6/18/2022 14:05,Thaw,2022,,,16.25,1.32,99,7.9,2.1,2.34,,,18.99,0.56
Rad_G15,Groundwater,8.32,6/18/2022 14:40,Thaw,2022,,,21.03,0.6,189.3,7.9,19.09,4.2,,,37.96,1.11
Rad_G16,Subtidal Porewater,42.36,6/19/2022 12:00,Thaw,2022,70.5041,-149.64177,48,2.39,19.8,1.3,1.3,0.4,,,1.64,0.06
Rad_G17,Subtidal Porewater,21.06,6/19/2022 13:00,Thaw,2022,70.50403,-149.64197,19.88,3.36,13,1.1,0.92,0.51,,,2.1,0.1
S1S,Lagoon,55.38,7/22/2022 13:04,Open Water,2022,70.54624,-149.59097,4.06,5.83,7.3,0.3,0.97,0.14,5.9,0.8,5.325,0.159
S1D,Lagoon,38.2,7/22/2022 13:04,Open Water,2022,70.54624,-149.59097,22.76,2.2,10.1,0.5,0.84,0.14,6.4,1,7.721,0.373
S2S,Lagoon,58.59,7/22/2022 15:25,Open Water,2022,70.5319,-149.61217,2.72,7.12,10.2,0.4,0.93,0.16,5.3,0.8,5.598,0.117
S2D,Lagoon,38.79,7/22/2022 15:25,Open Water,2022,70.5319,-149.61217,29.02,0.76,6.4,0.3,0.48,0.15,8.8,1.3,10.109,0.17
S3S,Lagoon,57.22,7/22/2022 17:00,Open Water,2022,70.518553,-149.629691,1.86,7.29,7.1,0.3,0.52,0.11,3.6,0.6,3.689,0.106
S3D,Lagoon,38.44,7/22/2022 17:00,Open Water,2022,70.518553,-149.629691,26.51,2.13,9.8,0.5,0.71,0.2,8.8,1,9.478,0.266
S4,Lagoon,57.78,7/23/2022 11:50,Open Water,2022,70.515221,-149.634966,3.72,6.18,8.1,0.3,1.12,0.18,5.7,0.6,5.759,0.169
S5,Lagoon,60.2,7/23/2022 12:17,Open Water,2022,70.512012,-149.638917,3.7,6.16,8.9,0.3,0.76,0.13,5.5,0.6,5.772,0.172
S6,Lagoon,60.51,7/23/2022 13:05,Open Water,2022,70.508338,-149.642745,2.59,6.66,7.5,0.3,0.81,0.12,,,5.2,0.147
S7,Lagoon,56.44,7/23/2022 14:00,Open Water,2022,70.504985,-149.737079,2.81,6.43,8.7,0.5,1,0.2,,,4.552,0.133
S8,Lagoon,57.17,7/23/2022 14:50,Open Water,2022,70.501767,-149.55945,2.72,6.59,7.6,0.3,0.72,0.18,,,3.649,0.092
LS1,Lagoon Shallows,57.57,7/21/2022 14:55,Open Water,2022,70.5036736,-149.6407861,6.4,8.85,9.7,0.4,1.46,0.2,,,13.098,0.209
LS2,Lagoon Shallows,61.6,7/24/2022 16:15,Open Water,2022,,,4.92,8.17,19.9,0.5,2.44,0.38,,,7.224,0.347
LS3,Lagoon Shallows,61.55,7/26/2022 11:40,Open Water,2022,70.5039736,-149.6454204,15.35,5.57,7.8,0.3,1.14,0.14,,,11.984,0.336
B3,Groundwater,20.15,7/24/2022 16:20,Open Water,2022,70.504035,-149.642392,3.68,7.78,125.1,5.2,10.99,2.23,,,1.333,0.144
B4,Groundwater,18.22,7/24/2022 15:30,Open Water,2022,,,23.8,4.48,4.7,0.5,0,0.16,,,1.815,0.142
B7,Groundwater,20.35,7/24/2022 14:40,Open Water,2022,,,6.88,7.67,3.3,0.4,0.59,0.18,,,9.615,0.272
C1,Groundwater,18.28,7/21/2022 13:00,Open Water,2022,70.503768,-149.641038,0.3,7.35,30.2,1.6,3.12,0.49,,,1.119,0.101
C3,Groundwater,20.65,7/21/2022 14:08,Open Water,2022,,,2,4.14,1.1,0.2,0.04,0.05,,,0.688,0.123
C4,Groundwater,2.62,7/21/2022 14:45,Open Water,2022,,,14.9,5.07,6,1.9,,,,,6.753,1.641
D3,Groundwater,20.64,7/24/2022 12:40,Open Water,2022,70.5048679,-149.6494982,3.84,4.61,1.5,0.2,0,0.16,,,3.49,0.14
D4,Groundwater,20.66,7/24/2022 13:05,Open Water,2022,,,5.68,5.67,20.3,0.7,2.27,0.47,,,,
D5,Groundwater,17.56,7/23/2022 12:30,Open Water,2022,,,10.74,3.48,28.5,1.6,1.92,0.59,,,1.147,0.136
E3,Groundwater,20.05,7/26/2022 14:30,Open Water,2022,70.5041081,-149.6454115,2.13,4.64,1.7,0.2,0.29,0.16,,,2.569,0.151
E4,Groundwater,20.9,7/26/2022 13:20,Open Water,2022,,,6.18,5.33,2.2,0.3,0.16,0.09,,,1.06,0.122
E4.5,Groundwater,23,7/26/2022 14:10,Open Water,2022,,,7.07,,1,0.4,0,0.11,,,1.245,0.077
E6,Groundwater,20.5,7/26/2022 11:40,Open Water,2022,,,23.07,2.84,3.6,0.4,0.12,0.12,,,1.198,0.098
E7,Groundwater,20.2,7/26/2022 14:30,Open Water,2022,,,28.63,4.2,5.3,0.5,0.02,0.15,,,1.239,0.113
No Point Creek,River,59.96,7/25/2022 11:24,Open Water,2022,70.49519,-149.64775,0.1,6.93,3.6,0.2,0.17,0.08,2.7,0.4,3.792,0.092
Kuparak,River,57.78,7/25/2022 14:40,Open Water,2022,70.26707,-148.63162,0.1,9.08,3.5,0.2,0.35,0.11,1.8,0.5,2.823,0.085
Putuligayuk,River,55.42,7/25/2022 15:41,Open Water,2022,70.32658,-148.94975,0.1,9.15,2.8,0.2,0.34,0.09,,,2.934,0.084
Sagavanirktok,River,61.01,7/27/2022 9:08,Open Water,2022,70.24994,-148.30902,0.2,7.27,1.7,0.1,0.14,0.07,,,6.178,0.142
Prudhoe Bay,Bay,19.95,7/27/2022 10:23,Open Water,2022,70.325558,-148.479447,14.72,5.38,15.4,0.7,0.84,0.26,,,17.899,0.503
Shore_1,Lagoon Shallows,62.4,9/29/2022 12:00,Freeze Up,2022,70.503768,-149.641038,29.66,-1.01,41.2,0.8,4.52,0.44,,,12.8,0.2
Shore_2,Lagoon Shallows,64.1,9/30/2022 10:30,Freeze Up,2022,70.504,-149.645976,24.27,-0.46,24.8,0.5,2.73,0.3,,,8.8,0.4
Shore_3,Lagoon Shallows,62.1,10/2/2022 13:07,Freeze Up,2022,70.504035,-149.642392,29.09,-1.2,29.8,0.6,3.32,0.33,,,11.4,0.3
Shore_4,Lagoon Shallows,36.4,10/4/2022 11:03,Freeze Up,2022,,,24.78,-1,49.8,1,7.45,0.1,,,24,0.7
S1S,Lagoon,59.11,9/29/2022 13:36,Freeze Up,2022,70.54624,-149.59097,27.84,-0.37,37.6,0.6,3.88,0.37,20.7,0.7,14.8,0.4
S1D,Lagoon,37.89,9/29/2022 13:36,Freeze Up,2022,70.54624,-149.59097,25.99,-0.4,38,0.9,3.77,0.47,19.1,1.1,15.4,0.4
S2S,Lagoon,61.1,9/29/2022 14:45,Freeze Up,2022,70.5319,-149.61217,27.54,-0.34,34.3,0.5,3.76,0.36,15.9,1.7,11.5,0.2
S2D,Lagoon,39.11,9/29/2022 14:45,Freeze Up,2022,70.5319,-149.61217,24.81,-0.33,44.4,0.8,5.09,0.46,17.9,2.4,15.3,0.3
S3S,Lagoon,57.66,9/29/2022 16:20,Freeze Up,2022,70.518553,-149.629691,0.13,-0.41,39,0.8,4.2,0.41,21,1.9,14,0.2
