lab_ID,field_ID,host_species,age,sampling_date,location,location_notes,lat,long,test_date,sample_ABS,neg_ctrl,S_N_ratio,result,replicate
ARFO-019,1AFSH020,Arctic fox,Adult,5/9/2014,Utqiagvik,,71.0736,-156.3654,7/15/2015,1.17085,1.2045,0.97207,Neg,2
ARFO-025,2AFSH016,Arctic fox,Adult,5/10/2014,Utqiagvik,,71.1164,-157.0633,8/16/2017,1.19755,1.32915,0.90099,Neg,2
ARFO-030,1AFSH030,Arctic fox,Adult,5/13/2014,Utqiagvik,,70.2168,-156.1317,7/15/2015,1.21221,1.2045,1.0064,Neg,2
ARFO-041,2AFSH025,Arctic fox,Adult,5/13/2014,Utqiagvik,,71.1185,-155.7602,7/15/2015,1.06589,1.2045,0.88492,Neg,2
ARFO-048,2AFSH031,Arctic fox,Adult,5/15/2014,Utqiagvik,,70.9955,-156.6426,7/15/2015,1.18542,1.2045,0.98416,Neg,2
ARFO-050,1AFSH041,Arctic fox,Adult,5/16/2014,Utqiagvik,,71.1533,-156.7233,7/15/2015,1.12501,1.2045,0.93401,Neg,2
ARFO-069,1AFSH064,Arctic fox,Adult,5/21/2014,Utqiagvik,,71.1309,-155.6278,7/15/2015,1.03305,1.2045,0.85766,Neg,2
ARFO-073,4AFSH002,Arctic fox,Adult,5/24/2014,Utqiagvik,,71.064,-155.8533,8/16/2017,1.31992,1.32915,0.99306,Neg,2
ARFO-075,3AFSH009,Arctic fox,Adult,5/25/2014,Utqiagvik,,71.1595,-156.1549,7/15/2015,1.1692,1.2045,0.97069,Neg,2
ARFO-095,AWAFSH017,Arctic fox,Adult,5/9/2015,Utqiagvik,,71.2381,-156.2045,7/23/2015,1.09043,1.12256,0.97138,Neg,2
ARFO-105,AWAFSH035,Arctic fox,Adult,5/12/2015,Utqiagvik,,71.0898,-156.0723,7/23/2015,0.92293,1.12256,0.82216,Neg,2
ARFO-111,AWAFSH042,Arctic fox,Adult,5/15/2015,Utqiagvik,,71.2172,-156.5648,7/23/2015,1.03874,1.12256,0.92534,Neg,2
ARFO-125,AWAFSH058,Arctic fox,Adult,5/18/2015,Utqiagvik,,71.2007,-156.9061,7/23/2015,0.727,1.12256,0.64763,Neg,2
ARFO-125,AWAFSH058,Arctic fox,Adult,5/18/2015,Utqiagvik,,71.2007,-156.9061,8/16/2017,1.03393,1.32915,0.77789,Neg,3
ARFO-140,ZHAFSH002,Arctic fox,Adult,5/7/2015,Utqiagvik,,71.0772,-157.0913,7/23/2015,0.96868,1.12256,0.86292,Neg,2
ARFO-142,ZHAFSH004,Arctic fox,Adult,5/7/2015,Utqiagvik,,71.0106,-157.0907,8/16/2017,1.05179,1.32915,0.79133,Neg,2
ARFO-144,ZHAFSH006,Arctic fox,Adult,5/7/2015,Utqiagvik,,70.9771,-156.6586,7/23/2015,0.89601,1.12256,0.79819,Neg,2
ARFO-149,ZHAFSH011,Arctic fox,Adult,5/9/2015,Utqiagvik,,71.2431,-156.1798,7/23/2015,1.0416,1.12256,0.92788,Neg,2
ARFO-157,ZHAFSH024,Arctic fox,Adult,5/12/2015,Utqiagvik,,71.0758,-156.1592,7/23/2015,0.76176,1.12256,0.67859,Neg,2
ARFO-164,ZHAFSH032,Arctic fox,Adult,5/16/2015,Utqiagvik,,71.1631,-156.3654,7/23/2015,0.8241,1.12256,0.73413,Neg,2
ARFO-175,ZHAFSH046,Arctic fox,Adult,5/21/2015,Utqiagvik,,71.0494,-155.8529,7/23/2015,0.88091,1.12256,0.78474,Neg,2
ARFO-179,JFASSH002,Arctic fox,Adult,5/4/2016,Utqiagvik,,70.9868,-157.2174,11/3/2016,1.38251,1.37974,1.00201,Neg,2
ARFO-183,DSAFSH004,Arctic fox,Adult,5/5/2016,Utqiagvik,,71.1517,-156.6824,11/3/2016,1.39941,1.37974,1.01426,Neg,2
ARFO-184,JFAFSH003,Arctic fox,Adult,5/5/2016,Utqiagvik,,71.2038,-156.6036,8/16/2017,1.12741,1.32915,0.84822,Neg,2
ARFO-192,JFAFSH008,Arctic fox,Adult,5/9/2016,Utqiagvik,,71.2314,-156.7026,11/3/2016,1.32301,1.37974,0.95888,Neg,2
ARFO-193,JFAFSH009,Arctic fox,Adult,5/9/2016,Utqiagvik,,71.186,-156.7061,8/16/2017,1.1489,1.32915,0.86439,Neg,2
ARFO-195,JFAFSH010,Arctic fox,Adult,5/9/2016,Utqiagvik,,71.1054,-156.779,11/3/2016,1.33425,1.37974,0.96703,Neg,2
ARFO-199,DSAFSH010,Arctic fox,Adult,5/9/2016,Utqiagvik,,70.9742,-156.2815,11/3/2016,1.30222,1.37974,0.94382,Neg,2
ARFO-204,DSAFSH012,Arctic fox,Adult,5/10/2016,Utqiagvik,,71.1879,-156.0486,11/3/2016,1.26664,1.37974,0.91802,Neg,2
ARFO-205,JFAFSH016,Arctic fox,Adult,5/10/2016,Utqiagvik,,71.1637,-156.1369,11/3/2016,1.26592,1.37974,0.9175,Neg,2
ARFO-209,JFAFSH018,Arctic fox,Adult,5/10/2016,Utqiagvik,,71.281,-156.5001,11/3/2016,1.24356,1.37974,0.9013,Neg,2
ARFO-210,JFAFSH019,Arctic fox,Adult,5/11/2016,Utqiagvik,,71.1331,-156.886,8/16/2017,1.14956,1.32915,0.86489,Neg,2
ARFO-211,DSAFSH015,Arctic fox,Adult,5/11/2016,Utqiagvik,,71.1146,-156.2824,11/3/2016,1.23626,1.37974,0.89601,Neg,2
ARFO-221,DSAFSH026,Arctic fox,Adult,5/13/2016,Utqiagvik,,71.1975,-156.057,11/3/2016,1.45387,1.37974,1.05373,Neg,2
ARFO-223,JFAFFH026,Arctic fox,Adult,5/14/2016,Utqiagvik,,71.2255,-156.4862,8/16/2017,1.23921,1.32915,0.93234,Neg,2
ARFO-224,MJAFSH001,Arctic fox,Adult,5/14/2016,Utqiagvik,,71.1843,-156.4231,11/3/2016,1.23812,1.37974,0.89736,Neg,2
ARFO-234,JFAFFH033,Arctic fox,Adult,6/8/2016,Utqiagvik,,71.2851,-156.5011,8/12/2016,0.97824,1.08287,0.90337,Neg,2
CA004,CAH15004,Caribou,Adult,4/22/2015,Central Arctic Herd,Tobin Cr/Chandalar Lake,67.5154,-148.3028,9/24/2015,1.09939,1.22251,0.89929,Neg,2
CA011,CAH15011,Caribou,Adult,4/22/2015,Central Arctic Herd,Mid. Fork of Chandalar,67.4582,-147.868,9/24/2015,1.13689,1.22251,0.92997,Neg,2
CA013,CAH15013,Caribou,Adult,4/23/2015,Central Arctic Herd,Indian Creek,67.5066,-148.6988,11/16/2017,1.28501,1.21409,1.05841,Neg,2
CA022,CAH15022,Caribou,Adult,4/23/2015,Central Arctic Herd,Chandalar Lake,67.4735,-148.1724,9/24/2015,1.0862,1.22251,0.8885,Neg,2
CA024,CAH15024,Caribou,Adult,4/23/2015,Central Arctic Herd,Chandalar Lake,67.4806,-148.1787,11/16/2017,1.33286,1.21409,1.09782,Neg,2
CA034,CAH15034,Caribou,Adult,4/26/2015,Central Arctic Herd,N. Fork Chandalar,67.8368,-148.9045,9/24/2015,1.15156,1.22251,0.94196,Neg,2
CA047,C-1713,Caribou,Adult,4/19/2017,Central Arctic Herd,,67.5,-148.5,11/16/2017,1.32436,1.21409,1.09082,Neg,2
PB004,20525,Polar bear,Adult,4/7/2014,Southern Beaufort Sea,,71.0721,-146.7139,11/6/2015,1.16075,1.25553,0.92451,Neg,2
PB008,20884,Polar bear,Adult,4/23/2014,Southern Beaufort Sea,,NA,NA,11/16/2017,1.01737,1.21409,0.83797,Neg,2
PB009,20969,Polar bear,Adult,4/28/2014,Southern Beaufort Sea,,70.5729,-141.6241,11/16/2017,1.18778,1.21409,0.97832,Neg,2
PB010,21015,Polar bear,Adult,4/10/2014,Southern Beaufort Sea,,70.7258,-147.4999,11/6/2015,1.08547,1.25553,0.86455,Neg,2
PB011,21024,Polar bear,Adult,4/12/2014,Southern Beaufort Sea,,71.0158,-149.4403,11/6/2015,1.15965,1.25553,0.92363,Neg,2
PB014,21260,Polar bear,Adult,4/14/2014,Southern Beaufort Sea,,71.1765,-149.1057,11/16/2017,1.27438,1.21409,1.04966,Neg,2
PB017,21335,Polar bear,Subadult,3/25/2014,Southern Beaufort Sea,,71.73,-156.7303,11/16/2017,1.27766,1.21409,1.05236,Neg,2
PB020,21362,Polar bear,Adult,3/25/2014,Southern Beaufort Sea,,72.061,-155.0068,11/16/2017,1.27549,1.21409,1.05057,Neg,2
PB022,21364,Polar bear,Adult,3/31/2014,Southern Beaufort Sea,,71.6659,-156.2063,11/16/2017,1.30687,1.21409,1.07642,Neg,2
PB032,21385,Polar bear,Subadult,4/20/2014,Southern Beaufort Sea,,70.1344,-142.0083,11/16/2017,1.29647,1.21409,1.06785,Neg,2
PB034,21387,Polar bear,Subadult,4/21/2014,Southern Beaufort Sea,,70.5395,-144.1053,11/16/2017,1.2817,1.21409,1.05568,Neg,2
PB077,20480,Polar bear,Adult,4/17/2016,Southern Beaufort Sea,,70.7446,-149.3706,8/13/2016,1.13254,1.18218,0.958,Neg,2
PB084,21404,Polar bear,Subadult,4/22/2016,Southern Beaufort Sea,,70.7432,-146.2498,8/13/2016,1.15256,1.18218,0.97494,Neg,2
PB087,22312,Polar bear,Adult,3/26/2016,Southern Beaufort Sea,,71.8647,-155.6243,8/13/2016,1.12671,1.18218,0.95308,Neg,2
PB093,32921,Polar bear,Adult,4/22/2016,Southern Beaufort Sea,,70.7493,-146.7516,8/13/2016,1.07177,1.18218,0.9066,Neg,2
